tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
full,qed,stoned,3,7719,7719,0.9483261615487348,0.9483261615487348,0.9482236899340295,0.9443970254773513,0.9448613343286846,oracle_benchmark_results/full/qed/stoned/seed_3/results_stoned_qed_3.yaml
full,qed,stoned,4,9158,9158,0.948381390614795,0.948381390614795,0.9483180745783788,0.946112761621499,0.9458364675836828,oracle_benchmark_results/full/qed/stoned/seed_4/results_stoned_qed_4.yaml
full,sascore,gpbo,0,10001,10001,9.0,9.0,9.0,8.887634304298095,8.889240143122896,oracle_benchmark_results/full/sascore/gpbo/seed_0/results_gp_bo_sascore_0.yaml
full,sascore,gpbo,1,10001,10001,9.0,9.0,9.0,8.92113429966859,8.935470053815408,oracle_benchmark_results/full/sascore/gpbo/seed_1/results_gp_bo_sascore_1.yaml
full,sascore,gpbo,2,10001,10001,9.0,9.0,9.0,8.897662981444888,8.923742063054188,oracle_benchmark_results/full/sascore/gpbo/seed_2/results_gp_bo_sascore_2.yaml
full,sascore,gpbo,3,10001,10001,9.0,9.0,9.0,8.898839340704951,8.933956614401763,oracle_benchmark_results/full/sascore/gpbo/seed_3/results_gp_bo_sascore_3.yaml
full,sascore,gpbo,4,10001,10001,9.0,9.0,9.0,8.903130773841312,8.793000908369034,oracle_benchmark_results/full/sascore/gpbo/seed_4/results_gp_bo_sascore_4.yaml
full,sascore,graph_ga,0,3398,3398,9.0,9.0,9.0,8.909257596468294,8.9056964516004,oracle_benchmark_results/full/sascore/graph_ga/seed_0/results_graph_ga_sascore_0.yaml
full,sascore,graph_ga,1,5052,5052,9.0,9.0,9.0,8.922519824279588,8.939881486106593,oracle_benchmark_results/full/sascore/graph_ga/seed_1/results_graph_ga_sascore_1.yaml
full,sascore,graph_ga,2,4284,4284,9.0,9.0,9.0,8.919666036611986,8.94099815089082,oracle_benchmark_results/full/sascore/graph_ga/seed_2/results_graph_ga_sascore_2.yaml
full,sascore,graph_ga,3,3382,3382,9.0,9.0,9.0,8.909121039813142,8.914837965711031,oracle_benchmark_results/full/sascore/graph_ga/seed_3/results_graph_ga_sascore_3.yaml
full,sascore,graph_ga,4,3554,3554,9.0,9.0,9.0,8.90272194654738,8.910508272766478,oracle_benchmark_results/full/sascore/graph_ga/seed_4/results_graph_ga_sascore_4.yaml
full,sascore,screening,0,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.247032117347805,oracle_benchmark_results/full/sascore/screening/seed_0/results_screening_sascore_0.yaml
full,sascore,screening,1,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.197084073425488,oracle_benchmark_results/full/sascore/screening/seed_1/results_screening_sascore_1.yaml
full,sascore,screening,2,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.190745566333792,oracle_benchmark_results/full/sascore/screening/seed_2/results_screening_sascore_2.yaml
full,sascore,screening,3,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.179294598286637,oracle_benchmark_results/full/sascore/screening/seed_3/results_screening_sascore_3.yaml
