tier,oracle,algorithm,n,original_top1,part2_top1,delta_top1,original_top10,part2_top10,delta_top10,original_top100,part2_top100,delta_top100,original_auc_top10,part2_auc_top10,delta_auc_top10
medium,mol_wt,mimosa,3,520.6713333333336,520.2186167613335,-0.4527165720000994,498.50026666666696,497.74279325213337,-0.7574734145335924,449.8286933333336,449.25391952402055,-0.5747738093130579,478.0571869651515,477.38680812813715,-0.6703788370143684
medium,mol_wt,moldqn,3,508.00866666666684,507.7781441360001,-0.23052253066674666,480.75846666666683,480.53355745226673,-0.2249092144000997,383.96928666666673,383.7846694146934,-0.18461725197335,345.25971526647965,345.1033884775912,-0.15632678888846385
medium,mol_wt,reinvent,3,646.2969999999999,645.1751078893334,-1.121892110666522,590.1219000000001,589.3211736538697,-0.8007263461304319,506.05289333333366,505.30666918244214,-0.7462241508915213,519.0161664733419,518.2513738143464,-0.764792658995475
medium,mol_wt,reinvent_selfies,3,654.6403333333334,653.4973068826667,-1.143026450666639,593.1049000000002,592.1656791441394,-0.9392208558607535,501.7622700000002,501.0883310934785,-0.6739389065217551,511.9535714807682,511.26950781264753,-0.6840636681206433
medium,mol_wt,screening,3,499.63600000000025,499.2695732960001,-0.36642670400016186,496.0895000000003,495.3076011740001,-0.7818988260002016,449.1509700000003,448.5769069649273,-0.5740630350730385,476.71746521534425,475.9807736467963,-0.7366915685479398
medium,mol_wt,selfies_ga,3,385.2246666666668,384.8535474986667,-0.37111916800006384,350.2311,349.88064726760007,-0.3504527323999582,287.4350733333333,287.1403368746133,-0.2947364587200241,228.68407033852392,228.44483269637598,-0.2392376421479412
medium,mol_wt,smiles_ga,3,1529.869,1529.118203106,-0.7507968939999046,1480.0894333333333,1479.338853783933,-0.7505795494002996,1394.1822100000002,1393.6548371869067,-0.5273728130935069,1001.5745472154828,1001.0876974850349,-0.48684973044782964
medium,mol_wt,stoned,3,741.1190000000001,740.7157418386968,-0.4032581613033699,682.3930666666666,681.8406085341572,-0.5524581325094005,641.9274466666667,641.5007847008596,-0.42666196580705673,533.8866784129893,533.3697366789669,-0.5169417340224527
medium,qed,gpbo,3,0.944766155615716,0.944766155615716,0.0,0.9354504465415369,0.9354504465415369,0.0,0.889982240226202,0.889982240226202,0.0,0.9173456018486589,0.9173456018486589,0.0
medium,qed,graph_ga,3,0.9454472420646433,0.9454472420646433,0.0,0.9399821650719367,0.9399821650719367,0.0,0.9138876437126706,0.9138876437126706,0.0,0.9228167054607526,0.9228167054607526,0.0
medium,qed,graph_mcts,3,0.9304802380932763,0.9304802380932763,0.0,0.9111224261926624,0.9111224261926624,0.0,0.8338501455787167,0.8338501455787167,0.0,0.9027408555357915,0.9027408555357915,0.0
medium,qed,mimosa,3,0.9440517923484039,0.9440517923484039,0.0,0.9354726162730714,0.9354726162730714,0.0,0.8997004646475765,0.8997004646475765,0.0,0.9154961981534567,0.9154961981534567,0.0
medium,qed,moldqn,3,0.9301469740639711,0.9301469740639711,0.0,0.9097281783496974,0.9097281783496974,0.0,0.8118413213011992,0.8118413213011992,0.0,0.9022108902803977,0.9022108902803977,0.0
medium,qed,reinvent,3,0.9423284545206542,0.9423284545206542,0.0,0.9349913260636008,0.9349913260636008,0.0,0.9084072517471476,0.9084072517471476,0.0,0.9151916541282413,0.9151916541282413,0.0
medium,qed,reinvent_selfies,3,0.943300450440748,0.943300450440748,0.0,0.9319772982040321,0.9319772982040321,0.0,0.900461147662977,0.900461147662977,0.0,0.9134165565750605,0.9134165565750605,0.0
medium,qed,screening,3,0.9440517923484039,0.9440517923484039,0.0,0.9361042180243165,0.9361042180243165,0.0,0.9047413471822935,0.9047413471822935,0.0,0.9192939914936256,0.9192939914936256,0.0
medium,qed,selfies_ga,3,0.7617715409475873,0.7617715409475873,0.0,0.6854104503814548,0.6854104503814548,0.0,0.5829712381545619,0.5829712381545619,0.0,0.5616625112131912,0.5616625112131912,0.0
medium,qed,smiles_ga,3,0.9424772329319443,0.9424772329319443,0.0,0.9404579025949866,0.9404579025949866,0.0,0.932073102694118,0.932073102694118,0.0,0.9193493592443379,0.9193493592443379,0.0
medium,qed,stoned,3,0.9463661154186566,0.9463661154186566,0.0,0.9439983965731272,0.9439983965731272,0.0,0.9155679122644308,0.9155679122644308,0.0,0.9225997960594162,0.9225997960594162,0.0
medium,rot_bonds,gpbo,3,34.666666666666664,34.666666666666664,0.0,31.033333333333335,31.033333333333335,0.0,25.12,25.12,0.0,21.257310546596262,21.257310546596262,0.0
medium,rot_bonds,graph_ga,3,23.333333333333332,23.333333333333332,0.0,19.966666666666665,19.966666666666665,0.0,15.796666666666667,15.796666666666667,0.0,13.57536828251114,13.57536828251114,0.0
medium,rot_bonds,graph_mcts,3,9.333333333333334,9.333333333333334,0.0,8.0,8.0,0.0,5.669999999999999,5.669999999999999,0.0,5.9576666666666656,5.9576666666666656,0.0
medium,rot_bonds,mimosa,3,7.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,6.911874501160216,6.911874501160216,0.0
medium,rot_bonds,moldqn,3,16.0,16.0,0.0,14.866666666666667,14.866666666666667,0.0,11.446666666666667,11.446666666666667,0.0,10.339338175052461,10.339338175052461,0.0
