tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
medium,qed,reinvent_selfies,0,1001,1001,0.9403483365553592,0.9403483365553592,0.9269459809092245,0.8938753545044498,0.9116033320403428,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent_selfies/seed_0/results_reinvent_selfies_qed_0.yaml
medium,qed,reinvent_selfies,1,1001,1001,0.94284483049827,0.94284483049827,0.931944455507692,0.9019941501248347,0.9127987532172502,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent_selfies/seed_1/results_reinvent_selfies_qed_1.yaml
medium,qed,reinvent_selfies,2,1001,1001,0.9467081842686145,0.9467081842686145,0.9370414581951799,0.9055139383596466,0.9158475844675883,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent_selfies/seed_2/results_reinvent_selfies_qed_2.yaml
medium,qed,screening,0,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9200985045718771,oracle_benchmark_results_part2_evaluator/medium/qed/screening/seed_0/results_screening_qed_0.yaml
medium,qed,screening,1,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9185538093565037,oracle_benchmark_results_part2_evaluator/medium/qed/screening/seed_1/results_screening_qed_1.yaml
medium,qed,screening,2,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9192296605524957,oracle_benchmark_results_part2_evaluator/medium/qed/screening/seed_2/results_screening_qed_2.yaml
medium,qed,selfies_ga,0,1001,1001,0.6984098946715518,0.6984098946715518,0.6172899569580418,0.5449042390570898,0.5239991849361452,oracle_benchmark_results_part2_evaluator/medium/qed/selfies_ga/seed_0/results_selfies_ga_qed_0.yaml
medium,qed,selfies_ga,1,1001,1001,0.7294474815557132,0.7294474815557132,0.6583370188050918,0.5649810488806581,0.5538055560140187,oracle_benchmark_results_part2_evaluator/medium/qed/selfies_ga/seed_1/results_selfies_ga_qed_1.yaml
medium,qed,selfies_ga,2,1001,1001,0.857457246615497,0.857457246615497,0.7806043753812306,0.6390284265259376,0.6071827926894098,oracle_benchmark_results_part2_evaluator/medium/qed/selfies_ga/seed_2/results_selfies_ga_qed_2.yaml
medium,qed,smiles_ga,0,1001,1001,0.9432773148882648,0.9432773148882648,0.941735867028313,0.9355224343791524,0.920892388283978,oracle_benchmark_results_part2_evaluator/medium/qed/smiles_ga/seed_0/results_smiles_ga_qed_0.yaml
medium,qed,smiles_ga,1,1001,1001,0.9432773148882648,0.9432773148882648,0.9411244660388842,0.932786420391541,0.9188359213298047,oracle_benchmark_results_part2_evaluator/medium/qed/smiles_ga/seed_1/results_smiles_ga_qed_1.yaml
medium,qed,smiles_ga,2,1001,1001,0.9408770690193035,0.9408770690193035,0.9385133747177626,0.9279104533116608,0.9183197681192312,oracle_benchmark_results_part2_evaluator/medium/qed/smiles_ga/seed_2/results_smiles_ga_qed_2.yaml
medium,qed,stoned,0,1001,1001,0.9473358479167044,0.9473358479167044,0.9438804707745614,0.9129165963283614,0.9218614659768971,oracle_benchmark_results_part2_evaluator/medium/qed/stoned/seed_0/results_stoned_qed_0.yaml
medium,qed,stoned,1,1001,1001,0.9436182191987191,0.9436182191987191,0.9417651618299777,0.9135476090110971,0.9217588301274683,oracle_benchmark_results_part2_evaluator/medium/qed/stoned/seed_1/results_stoned_qed_1.yaml
medium,qed,stoned,2,1001,1001,0.9481442791405461,0.9481442791405461,0.9463495571148423,0.9202395314538337,0.9241790920738834,oracle_benchmark_results_part2_evaluator/medium/qed/stoned/seed_2/results_stoned_qed_2.yaml
medium,rot_bonds,gpbo,0,1001,1001,36.0,36.0,32.7,26.53,22.314353503639218,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/gpbo/seed_0/results_gp_bo_rot_bonds_0.yaml
medium,rot_bonds,gpbo,1,1001,1001,35.0,35.0,30.1,24.46,20.358109747395464,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/gpbo/seed_1/results_gp_bo_rot_bonds_1.yaml
medium,rot_bonds,gpbo,2,1001,1001,33.0,33.0,30.3,24.37,21.099468388754104,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/gpbo/seed_2/results_gp_bo_rot_bonds_2.yaml
medium,rot_bonds,graph_ga,0,1001,1001,22.0,22.0,19.5,15.58,13.26647717362003,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_ga/seed_0/results_graph_ga_rot_bonds_0.yaml
medium,rot_bonds,graph_ga,1,1001,1001,22.0,22.0,20.0,16.01,13.840652997795855,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_ga/seed_1/results_graph_ga_rot_bonds_1.yaml
medium,rot_bonds,graph_ga,2,1001,1001,26.0,26.0,20.4,15.8,13.618974676117533,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_ga/seed_2/results_graph_ga_rot_bonds_2.yaml
medium,rot_bonds,graph_mcts,0,1000,1000,9.0,9.0,8.1,5.91,6.5333499999999995,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/graph_mcts/seed_0/results_graph_mcts_rot_bonds_0.yaml
